"country","hdi2019","pop2022","gniPerCapita2020"
"Seychelles","0.7960","99.4260",""
"Trinidad and Tobago","0.7960","1406.5850",""
"Albania","0.7950","2866.3740","5210"
"Cuba","0.7830","11305.6520","7480"
"Iran","0.7830","86022.8370","2870"
"Sri Lanka","0.7820","21575.8420","3720"
"Bosnia and Herzegovina","0.7800","3249.3170","6090"
"Saint Kitts and Nevis","0.7790","53.8710",""
"Grenada","0.7790","113.4750","8740"
"Ukraine","0.7790","43192.1220","3540"
"Mexico","0.7790","131562.7720","8480"
"Antigua and Barbuda","0.7780","99.5090",""
"Peru","0.7770","33684.2080","6010"
"Thailand","0.7770","70078.2030","7050"
"Armenia","0.7760","2971.9660","4220"
"North Macedonia","0.7740","2081.3040","5720"
"Colombia","0.7670","51512.7620","5780"
"Brazil","0.7650","215353.5930","7850"
"China","0.7610","1448471.4000","10610"
"Saint Lucia","0.7590","185.1130","8790"
"Ecuador","0.7590","18113.3610","5530"
"Azerbaijan","0.7560","10300.2050","4450"
"Dominican Republic","0.7560","11056.3700","7260"
"Moldova","0.7500","4013.1710","4570"
"Algeria","0.7480","45350.1480","3550"
"Lebanon","0.7440","6684.8490","5510"
"Fiji","0.7430","909.4660","4720"
"Dominica","0.7420","72.3440","6870"
"Maldives","0.7400","540.9850","6830"
"Tunisia","0.7400","12046.6560","3100"
"Saint Vincent and the Grenadines","0.7380","111.5510","7340"
"Suriname","0.7380","596.8310","5510"
"Mongolia","0.7370","3378.0780","3670"
"Botswana","0.7350","2441.1620","6640"
"Jamaica","0.7340","2985.0940","4620"
"Jordan","0.7290","10300.8690","4310"
"Paraguay","0.7280","7305.8430","5140"
"Tonga","0.7250","107.7490","5000"
"Libya","0.7240","7040.7450","4850"
"Uzbekistan","0.7200","34382.0840","1670"
"Bolivia","0.7180","11992.6560","3200"
"Philippines","0.7180","112508.9940","3430"
"Indonesia","0.7180","279134.5050","3870"
"Belize","0.7160","412.1900","3970"
"Samoa","0.7150","202.2390","4070"
"Turkmenistan","0.7150","6201.9430","7220"
"Venezuela","0.7110","29266.9910",""
"South Africa","0.7090","60756.1350","5410"
"Palestine","0.7080","5345.5410","3710"
"Egypt","0.7070","106156.6920","3586"
"Marshall Islands","0.7040","60.0570","5010"
"Vietnam","0.7040","98953.5410","2660"
"Gabon","0.7030","2331.5330","6970"
"Kyrgyzstan","0.6970","6728.2710","1160"
"Morocco","0.6860","37772.7560","3158"
"Guyana","0.6820","794.0450","6600"
"Iraq","0.6740","42164.9650","4660"
"El Salvador","0.6730","6550.3890","3650"
"Tajikistan","0.6680","9957.4640","1060"
"Guatemala","0.6630","18584.0390","4490"
"Nicaragua","0.6600","6779.1000","1850"
"Bhutan","0.6540","787.9410","2860"
"Namibia","0.6460","2633.8740","4520"
"India","0.6450","1406631.7760","1900"
"Honduras","0.6340","10221.2470","2200"
"Bangladesh","0.6320","167885.6890","2010"
"Kiribati","0.6300","123.4190","3010"
"Sao Tome and Principe","0.6250","227.6790",""
"Micronesia","0.6200","117.4890","4010"
"Laos","0.6130","7481.0230","2480"
"Eswatini","0.6110","1184.8170","3580"
"Ghana","0.6110","32395.4500","2230"
"Vanuatu","0.6090","321.8320","2780"
"Timor-Leste","0.6060","1369.4290",""
"Nepal","0.6020","30225.5820",""
"Kenya","0.6010","56215.2210","1760"
"Cambodia","0.5940","17168.6390","1490"
"Equatorial Guinea","0.5920","1496.6620","5810"
"Zambia","0.5840","19470.2340","1190"
"Myanmar","0.5830","55227.1430","1260"
"Angola","0.5810","35027.3430","2230"
"Zimbabwe","0.5710","15331.4280","1090"
"Solomon Islands","0.5670","721.1590","2300"
"Syria","0.5670","19364.8090","1820"
"Cameroon","0.5630","27911.5480","1500"
"Pakistan","0.5570","229488.9940","1280"
"Papua New Guinea","0.5550","9292.1690","2660"
"Comoros","0.5540","907.4190","1450"
"Mauritania","0.5460","4901.9810","1640"
"Benin","0.5450","12784.7260","1280"
"Uganda","0.5440","48432.8630","800"
"Rwanda","0.5430","13600.4640","780"
"Nigeria","0.5390","216746.9340","2000"
"Ivory Coast","0.5380","27742.2980","2280"
"Tanzania","0.5290","63298.5500","1080"
"Madagascar","0.5280","29178.0770","480"
"Lesotho","0.5270","2175.6990","1100"
"Djibouti","0.5240","1016.0970","3320"
"Togo","0.5150","8680.8370","920"
"Senegal","0.5120","17653.6710","1430"
"Afghanistan","0.5110","40754.3880","500"
"Haiti","0.5100","11680.2830","1250"
"Sudan","0.5100","45992.0200","650"
"Gambia","0.4960","2558.4820","750"
"Ethiopia","0.4850","120812.6980","890"
"Malawi","0.4830","20180.8390","580"
"Guinea-Bissau","0.4800","2063.3670","760"
"Liberia","0.4800","5305.1170","530"
"DR Congo","0.4800","95240.7920",""
"Guinea","0.4770","13865.6910","1020"
"Yemen","0.4700","31154.8670","940"
"Eritrea","0.4590","3662.2440","600"
"Mozambique","0.4560","33089.4610","460"
"Sierra Leone","0.4520","8306.4360","490"
"Burkina Faso","0.4520","22102.8380","790"
"Mali","0.4340","21473.7640","830"
"South Sudan","0.4330","11618.5110","1090"
"Burundi","0.4330","12624.8400","270"
"Chad","0.3980","17413.5800","660"
"Central African Republic","0.3970","5016.6780","510"
"Niger","0.3940","26083.6600","540"
