"country","ceoQoL","hdi2019","numbeoQoL","usNewsQoL"
"Afghanistan","68.5000","0.5110","",""
"Albania","68.9600","0.7950","",""
"Algeria","80.9600","0.7480","",""
"Andorra","","0.8680","",""
"Angola","72.5700","0.5810","",""
"Antigua and Barbuda","","0.7780","",""
"Argentina","81.9300","0.8450","104.3100","59"
"Armenia","61.6200","0.7760","",""
"Australia","88.2300","0.9440","178.4100","6"
"Austria","88.5200","0.9220","176.3600","11"
"Azerbaijan","71.0100","0.7560","101.4100","73"
"Bahamas","","0.8140","",""
"Bahrain","76.7600","0.8520","",""
"Bangladesh","77.2200","0.6320","64.5400",""
"Barbados","","0.8140","",""
"Belarus","76.4600","0.8230","107.1500","72"
"Belgium","96.5300","0.9310","148.1800","12"
"Belize","34.7800","0.7160","",""
"Benin","53.4100","0.5450","",""
"Bhutan","80.7800","0.6540","",""
"Bolivia","","0.7180","",""
"Bosnia and Herzegovina","","0.7800","",""
"Botswana","68.5800","0.7350","",""
"Brazil","82.3800","0.7650","104.7000","52"
"Bulgaria","79.4600","0.8160","126.8800","42"
"Burkina Faso","64.4200","0.4520","",""
"Burundi","36.5500","0.4330","",""
"Cambodia","69.1800","0.5940","","49"
"Cameroon","70.6100","0.5630","",""
"Canada","90.3000","0.9290","157.2500","1"
"Central African Republic","35.1300","0.3970","",""
"Chad","58.2300","0.3980","",""
"Chile","77.4200","0.8510","97.2700","43"
"China","82.8000","0.7610","103.1600","23"
"Colombia","77.1600","0.7670","102.0200","60"
"Comoros","33.1400","0.5540","",""
"Costa Rica","76.4600","0.8100","120.4200",""
"Croatia","80.1100","0.8510","155.4100","37"
"Cuba","72.7400","0.7830","",""
"Cyprus","83.3900","0.8870","146.0800",""
"Denmark","98.1300","0.9400","186.2500","2"
"Djibouti","35.3900","0.5240","",""
"Dominica","34.1900","0.7420","",""
"Dominican Republic","","0.7560","","53"
"DR Congo","70.3600","0.4800","",""
"Ecuador","75.5200","0.7590","116.2700","65"
"Egypt","77.2800","0.7070","87.2100","51"
"El Salvador","68.9900","0.6730","","75"
"Equatorial Guinea","56.8000","0.5920","",""
"Eritrea","43.9500","0.4590","",""
"Estonia","82.8700","0.8920","171.1600","48"
"Eswatini","37.7700","0.6110","",""
"Ethiopia","73.0500","0.4850","",""
"Fiji","","0.7430","",""
"Finland","99.0600","0.9380","178.9500","8"
"France","92.0800","0.9010","153.6000","17"
"Gabon","68.0600","0.7030","",""
"Gambia","34.7400","0.4960","",""
"Georgia","68.7300","0.8120","116.6200",""
"Germany","91.2600","0.9470","175.2400","9"
"Ghana","72.0300","0.6110","",""
"Greece","83.3900","0.8880","127.9600","26"
"Grenada","","0.7790","",""
"Guatemala","74.1100","0.6630","","64"
"Guinea","60.9600","0.4770","",""
"Guinea-Bissau","","0.4800","",""
"Guyana","37.5600","0.6820","",""
"Haiti","46.9100","0.5100","",""
"Honduras","","0.6340","",""
"Hong Kong","84.6400","0.9490","96.1000",""
"Hungary","83.2600","0.8540","134.5400","30"
"Iceland","84.9600","0.9490","177.6400",""
"India","82.9500","0.6450","103","38"
"Indonesia","78.8600","0.7180","90.1500","35"
"Iran","73.0800","0.7830","63.6000",""
