Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0137-AGO,2005,0137,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Kuanza Norte, Uige, Zaire, Malanje, Bengo, Huambo, Benguela, Bie, Cuando Cubango provinces",Heavy rains,,,,,,,118200,Km2,,,,"Kapacala, Cuanza, Okavango rivers",2005,1,27,2005,3,28,,,,10000,10000,,,,,,,72.07141045,1,398;399;400;402;405;407;411;414;415,,"Bengo, Benguela, Bie, Cuando Cubango, Huambo, Kuanza Norte, Malanje, Uige, Zaire (Adm1)."
2005-0072-AGO,2005,0072,,Technological,Technological,Transport accident,Road,,,Angola,AGO,Middle Africa,Africa,Lubango (Huila province),,,,,No,No,,,,,,,,2005,2,8,2005,2,8,20,70,,,70,,,,,,,72.07141045,,,,
2005-0160-IDN,2005,0160,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Simeulue, Aceh Singkil districts (Nangroe Aceh Darussalam province) Nias, Nias Selatan districts (Sumatera Utara province)",,Tsunami/Tidal wave,,Yes,,,3629,9,Richter,2.085,97.108,23:09,,2005,3,28,2005,3,28,915,1146,104167,,105313,,,,,,,72.07141045,2,,73627;73811;73812;73850,"Aceh Singkil, Nias, Nias Selatan, Simeulue (Adm2)."
2005-0031-IDN,2005,0031,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Palu district (Sulawesi Tengah province),,,,,,,,6,Richter,-1.198,119.933,04:11,,2005,1,23,2005,1,23,1,4,680,,684,,,,,,,72.07141045,2,,73741,Kota Palu (Adm2).
2005-0089-IDN,2005,0089,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Bandung district (Jawa Barat province),,,,,,,,,,,,,,2005,2,21,2005,2,21,143,,,,,,,,,5000,6938,72.07141045,2,,73636,Bandung (Adm2).
2005-0091-IDN,2005,0091,,Technological,Technological,Transport accident,Air,,Casa 212,Indonesia,IDN,South-Eastern Asia,Asia,Sarmi district,,,,,No,No,,,,,,,,2005,3,22,2005,3,22,15,3,,,3,,,,,,,72.07141045,,,,
2005-0111-IDN,2005,0111,,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,Kuala Kampar (Sumatra Isl.),,,,,No,No,,,,,,,,2005,3,13,2005,3,13,33,,,,,,,,,,,72.07141045,,,,
2005-0103-USA,2005,0103,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,Los Angeles district (California province),Heavy rains,"Slide (land, mud, snow, rock)",Rain,,,,,,Km2,,,,,2005,2,17,2005,2,23,9,,150,,150,,,200000,277503,250000,346878,72.07141045,2,,28883,Los Angeles (Adm2).
2005-0015-USA,2005,0015,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"La Conchita area (Ventura district, California province), Malibu area (Los Angeles district, California province), Sacramento district (California province), Arizona, Ohio provinces","Heavy rain, heavy snow","Slide (land, mud, snow, rock)",,,,Yes,,560,Km2,,,,"Venturea, Ohio rivers",2005,1,7,2005,1,11,28,8,500,,508,,,200000,277503,200000,277503,72.07141045,1;2,3216;3249,28883;28898;28920,"Arizona, Ohio (Adm1). Los Angeles, Sacramento, Ventura (Adm2)."
2005-0029-USA,2005,0029,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New York, Connecticut, Wisconsin, Ohio, Maryland, Massachusetts, Iowa provinces",,Cold wave,,,,,,,Kph,,,,,2005,1,22,2005,1,24,20,,,,,,,200000,277503,350000,485629,72.07141045,1,3220;3229;3234;3235;3246;3249;3263,,"Connecticut, Iowa, Maryland, Massachusetts, New York, Ohio, Wisconsin (Adm1)."
