"country","rank2021","rank2020","pop2022"
"United States","1","1","334805.2690"
"United Kingdom","2","2","68497.9070"
"Germany","3","4","83883.5960"
"Canada","4","3","38388.4190"
"France","5","5","65584.5180"
"Switzerland","6","6","8773.6370"
"Japan","7","11","125584.8380"
"Australia","8","7","26068.7920"
"Sweden","9","8","10218.9710"
"Netherlands","10","9","17211.4470"
"New Zealand","11","14","4898.2030"
"Denmark","12","10","5834.9500"
"Norway","13","12","5511.3700"
"Italy","14","16","60262.7700"
"Finland","15","15","5554.9600"
"Austria","16","13","9066.7100"
"Spain","17","18","46719.1420"
"Belgium","18","","11668.2780"
"South Korea","19","22","51329.8990"
"Ireland","20","","5020.1990"
"Singapore","21","19","5943.5460"
"China","22","24","1448471.4000"
"Russia","23","21","145805.9470"
"Israel","24","25","8922.8920"
"Portugal","25","20","10140.5700"
"Poland","26","23","37739.7850"
"United Arab Emirates","27","28","10081.7850"
"Greece","28","26","10316.6370"
"Hungary","30","","9606.2590"
"Turkey","31","31","85561.9760"
"India","32","34","1406631.7760"
"South Africa","33","32","60756.1350"
"Argentina","34","29","46010.2340"
"Saudi Arabia","35","46","35844.9090"
"Brazil","36","30","215353.5930"
"Mexico","37","36","131562.7720"
"Malaysia","38","39","33181.0720"
"Egypt","39","42","106156.6920"
"Ukraine","40","38","43192.1220"
"Qatar","41","37","2979.9150"
"Lithuania","42","45","2661.7080"
"Croatia","43","33","4059.2860"
"Estonia","44","47","1321.9100"
"Slovakia","45","44","5460.1930"
"Thailand","46","48","70078.2030"
"Romania","47","40","19031.3350"
"Chile","48","35","19250.1950"
"Bulgaria","49","43","6844.5970"
"Latvia","50","50","1848.8370"
"Colombia","51","49","51512.7620"
"Belarus","52","51","9432.8000"
"Slovenia","53","41","2078.0340"
"Indonesia","54","55","279134.5050"
"Philippines","55","52","112508.9940"
"Uruguay","56","","3496.0160"
"Morocco","57","57","37772.7560"
"Jordan","58","53","10300.8690"
"Vietnam","59","64","98953.5410"
"Panama","60","56","4446.9640"
"Costa Rica","61","54","5182.3540"
"Oman","62","62","5323.9930"
"Serbia","63","58","8653.0160"
"Peru","64","59","33684.2080"
"Azerbaijan","65","61","10300.2050"
"Sri Lanka","66","67","21575.8420"
"Tunisia","67","63","12046.6560"
"Kenya","68","68","56215.2210"
"Dominican Republic","69","60","11056.3700"
"Lebanon","70","69","6684.8490"
"Kazakhstan","71","70","19205.0430"
"Uzbekistan","72","","34382.0840"
"Ecuador","73","65","18113.3610"
"El Salvador","74","","6550.3890"
"Cambodia","75","","17168.6390"
"Myanmar","76","71","55227.1430"
"Iraq","77","","42164.9650"
"Guatemala","78","73","18584.0390"
