Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source
SE.ADT.LITR.ZS,CC BY-4.0,"Literacy rate, adult total (% of people ages 15 and above)",,Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Background: Education,Annual,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.","Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.","In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",
SE.ADT.LITR.MA.ZS,CC BY-4.0,"Literacy rate, adult male (% of males ages 15 and above)",,Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Background: Education,Annual,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.","Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.","In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",
SE.ADT.LITR.FE.ZS,CC BY-4.0,"Literacy rate, adult female (% of females ages 15 and above)",,Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Background: Education,Annual,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.","Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.","In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",
SE.PRM.NENR,CC BY-4.0,"School enrollment, primary (% net)",,"Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Background: Education,Annual,Weighted average,"Net enrollment rate for primary school is calculated by dividing the number of students of official school age enrolled in primary education by the population of the age group which officially corresponds to primary education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",
SE.SEC.NENR,CC BY-4.0,"School enrollment, secondary (% net)",,"Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Background: Education,Annual,Weighted average,"Net enrollment rate for secondary school is calculated by dividing the number of students of official school age enrolled in secondary education by the population of the age group which officially corresponds to secondary education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",
SE.XPD.TOTL.GD.ZS,CC BY-4.0,"Government expenditure on education, total (% of GDP)",,"General government expenditure on education (current, capital, and transfers) is expressed as a percentage of GDP. It includes expenditure funded by transfers from international sources to government. General government usually refers to local, regional and central governments.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Background: Education,Annual,Median,"Government expenditure on education, total (% of GDP) is calculated by dividing total government expenditure for all levels of education by the GDP, and multiplying by 100. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. GDP data come from the World Bank. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The percentage of government expenditure on education to GDP is useful to compare education expenditure between countries and/or over time in relation to the size of their economy; A high percentage to GDP suggests a high priority for education and a capacity of raising revenues for public spending. Note that government expenditure appears lower in some countries where the private sector and/or households have a large share in total funding for education.,Data may refer to spending by the ministry of education only (excluding spending on educational activities by other ministries).,,
SH.XPD.GHED.GD.ZS,CC BY-4.0,Domestic general government health expenditure (% of GDP),,Public expenditure on health from domestic sources as a share of the economy as measured by GDP.,"World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database). The data was retrieved on January 30, 2022.",Health financing,Annual,Weighted Average,"The health expenditure estimates have been prepared by the World Health Organization under the framework of the System of Health Accounts 2011 (SHA 2011).  The Health SHA 2011 tracks all health spending in a given country over a defined period of time regardless of the entity or institution that financed and managed that spending. It generates consistent and comprehensive data on health spending in a country, which in turn can contribute to evidence-based policy-making.","Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC.",,,The World Health Organization (WHO) has revised health expenditure data using the new international classification for health expenditures in the revised System of Health Accounts (SHA 2011).  WHO’s Global Health Expenditure Database in this new version is the reference source for health expenditure for international comparison imbedded in a standardized framework.  The SHA 2011 clarifies the financing mechanisms and introduces new dimensions which improve the comparability of health expenditures in the perspective of universal health coverage.
SH.MED.BEDS.ZS,CC BY-4.0,"Hospital beds (per 1,000 people)",,"Hospital beds include inpatient beds available in public, private, general, and specialized hospitals and rehabilitation centers. In most cases beds for both acute and chronic care are included.","Data are from the World Health Organization, supplemented by country data.",Medical resources and usage,Annual,Weighted average,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.

Availability and use of health services, such as hospital beds per 1,000 people, reflect both demand- and supply-side factors. In the absence of a consistent definition this is a crude indicator of the extent of physical, financial, and other barriers to health care.",,"Depending on the source and means of monitoring, data may not be exactly comparable across countries. For more information, see the original source.",,"Depending on the source and means of monitoring, data may not be exactly comparable across countries. See listed source for country-specific details."
SH.IMM.POL3,CC BY-4.0,"Immunization, Pol3 (% of one-year-old children)",,"Child immunization rate, polio, is the percentage of children ages 12-23 months who received polio vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized after three doses.",WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,Immunization,Annual,Weighted average,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.

Notes on regional and global aggregates: When the vaccine is not introduced in a national immunization schedule, the missing value is assumed zero (or close to zero) in the relevant groups' averages.","Immunization is one of the most cost-effective public health interventions, and is an essential component for reducing under-five mortality. Immunization coverage estimates are used to monitor coverage of immunization services and to guide disease eradication and elimination efforts.",In many developing countries a lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,,
SH.IMM.MEAS,CC BY-4.0,"Immunization, measles (% of children ages 12-23 months)",,"Child immunization, measles, measures the percentage of children ages 12-23 months who received the measles vaccination before 12 months or at any time before the survey. A child is considered adequately immunized against measles after receiving one dose of vaccine.",WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,Immunization,Annual,Weighted average,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.

Notes on regional and global aggregates: When the vaccine is not introduced in a national immunization schedule, the missing value is assumed zero (or close to zero) in the relevant groups' averages.","Immunization is one of the most cost-effective public health interventions, and is an essential component for reducing under-five mortality. Immunization coverage estimates are used to monitor coverage of immunization services and to guide disease eradication and elimination efforts.",In many developing countries a lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,,
